a,b
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
21.16,-1.43
28.22,-1.64
28.22,-1.64
28.22,-1.64
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
15.24,-1.03
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
28.22,-1.64
