a,b
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
26.31,-1.56
29.36,-1.57
29.36,-1.57
29.36,-1.57
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
15.1,-0.96
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
29.36,-1.57
